98,Martin Bravo VS Claudio Puelles,Martin Bravo,Claudio Puelles,-105,-115,11/5/2016 0:00,"Mexico City, Distrito Federal, Mexico", Mexico,Martin Bravo,Lightweight,MALE,23,20,KO/TKO
99,Michael Bisping VS Dan Henderson,Michael Bisping,Dan Henderson,-260,220,10/8/2016 0:00,"Manchester, England, United Kingdom", United Kingdom,Michael Bisping,Middleweight,MALE,37,46,U-DEC
100,Stipe Miocic VS Alistair Overeem,Stipe Miocic,Alistair Overeem,-145,125,9/10/2016 0:00,"Cleveland, Ohio, USA", USA,Stipe Miocic,Heavyweight,MALE,34,36,KO/TKO
101,Robbie Lawler VS Tyron Woodley,Robbie Lawler,Tyron Woodley,-120,100,7/30/2016 0:00,"Atlanta, Georgia, USA", USA,Tyron Woodley,Welterweight,MALE,34,34,KO/TKO
102,Miesha Tate VS Amanda Nunes,Miesha Tate,Amanda Nunes,265,-325,7/9/2016 0:00,"Las Vegas, Nevada, USA", USA,Amanda Nunes,Women's Bantamweight,FEMALE,29,28,SUB
103,Jose Aldo VS Frankie Edgar,Jose Aldo,Frankie Edgar,120,-140,7/9/2016 0:00,"Las Vegas, Nevada, USA", USA,Jose Aldo,Featherweight,MALE,29,34,U-DEC
104,Joanna Jedrzejczyk VS Claudia Gadelha,Joanna Jedrzejczyk,Claudia Gadelha,-130,110,7/8/2016 0:00,"Las Vegas, Nevada, USA", USA,Joanna Jedrzejczyk,Women's Strawweight,FEMALE,28,27,U-DEC
105,Andrew Sanchez VS Khalil Rountree Jr.,Andrew Sanchez,Khalil Rountree Jr.,-160,140,7/8/2016 0:00,"Las Vegas, Nevada, USA", USA,Andrew Sanchez,Light Heavyweight,MALE,28,26,U-DEC
106,Tatiana Suarez VS Amanda Cooper,Tatiana Suarez,Amanda Cooper,-370,310,7/8/2016 0:00,"Las Vegas, Nevada, USA", USA,Tatiana Suarez,Women's Strawweight,FEMALE,25,24,SUB
107,Rafael Dos Anjos VS Eddie Alvarez,Rafael Dos Anjos,Eddie Alvarez,-290,245,7/7/2016 0:00,"Las Vegas, Nevada, USA", USA,Eddie Alvarez,Lightweight,MALE,31,32,KO/TKO
108,Luke Rockhold VS Michael Bisping,Luke Rockhold,Michael Bisping,-750,525,6/4/2016 0:00,"Los Angeles, California, USA", USA,Michael Bisping,Middleweight,MALE,31,37,KO/TKO
109,Dominick Cruz VS Urijah Faber,Dominick Cruz,Urijah Faber,-380,315,6/4/2016 0:00,"Los Angeles, California, USA", USA,Dominick Cruz,Bantamweight,MALE,31,37,U-DEC
