129,Alexis Davis,"5' 6""",135 lbs.,"68""",Orthodox,10/4/1984 0:00,4.18,0.47,0.55,0.94,0.4,0.34,0.8,Ally-Gator,Bantamweight,"Port Colborne, Ontario",Canada
130,Maiara Amanajas dos Santos,"5' 5""",115 lbs.,,Southpaw,7/11/1987 0:00,5.53,0.35,0.33,0,0,1,0,,,,
131,Liz Carmouche,"5' 6""",125 lbs.,"66""",Orthodox,2/19/1984 0:00,2.78,0.54,0.61,2.57,0.51,0.65,0.3,Girl-Rilla,Bantamweight,"San Diego, California",United States
132,Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,10/30/1986 0:00,3.29,0.47,0.78,5.84,0.56,1,0,Borz,Welterweight,Grozny,Russia
133,Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,5/6/1986 0:00,3.17,0.44,0.55,0.08,0.16,0.82,0.1,Smile'n,Middleweight,"Waterford, Wisconsin",United States
134,Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,1/26/1970 0:00,0.83,0.29,0.4,3.13,0.57,1,0.8,,,,
135,Gabriel Gonzaga,"6' 2""",242 lbs.,"76""",Orthodox,5/18/1979 0:00,2.12,0.45,0.57,2.8,0.39,0.66,1.1,Napao,Heavyweight,Rio de Janeiro,Brazil
136,Chris Amarante,,185 lbs.,,,,0,0,0,0,0,0,0,,,,
137,Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,2/4/1979 0:00,3.48,0.44,0.57,0.47,0.36,0.78,0.3,The Pit Bull,Heavyweight,Minsk,Belarus
138,JJ Ambrose,"5' 10""",170 lbs.,,Orthodox,,3.16,0.69,0.33,0,0,0.5,0,,,,
139,Travis Browne,"6' 6""",255 lbs.,"79""",Orthodox,7/17/1982 0:00,2.93,0.41,0.42,1.21,0.68,0.75,0.2,Hapa,Heavyweight,"Oahu, Hawaii",United States
140,Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,4/6/1988 0:00,0.52,0.28,0.37,0,0,0,0,,,,
141,Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,11/8/1988 0:00,1.42,0.44,0.51,3.37,0.37,0.57,1.4,Mr. Finland,Featherweight,Turku,Finland
142,Mark Hunt,"5' 10""",265 lbs.,"72""",Orthodox,3/23/1974 0:00,2.81,0.43,0.51,0.51,0.55,0.64,0.2,The Super Samoan,Heavyweight,"South Auckland, Auckland",New Zealand
143,Bertrand Amoussou,"5' 8""",190 lbs.,,Orthodox,,6.75,0.39,0.83,0,0,0,0,,,,
144,Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,4/21/1987 0:00,3.23,0.46,0.51,1.62,0.35,0.8,0.1,,,,
145,Andy Anderson,"5' 6""",240 lbs.,,,7/16/1974 0:00,0,0,0,0,0,0,0,The Hammer,Heavyweight,"Arlington, Texas",United States
146,Karl Amoussou,"5' 11""",185 lbs.,,Orthodox,11/21/1985 0:00,1.47,0.34,0.54,0,0,0.25,1,,,,
147,Ebenezer Fontes Braga,"6' 0""",199 lbs.,,Orthodox,4/14/1969 0:00,2.42,0.5,0.71,0,0,0.9,0.6,Pitbull,Light Heavyweight,Rio de Janeiro,Brazil
148,Matt Andersen,"6' 2""",230 lbs.,,Southpaw,5/29/1971 0:00,0,0,0,0,0,0,0,,Heavyweight,"Omaha, Nebraska",USA
149,Lowell Anderson,"5' 6""",160 lbs.,,Orthodox,,0,0,0,0,0,0,0,,Welterweight,"Fairfield, Idaho",United States
150,Derek Anderson,"6' 0""",155 lbs.,,,2/2/1990 0:00,3.97,0.37,0.61,0.34,0.14,0.6,0,,,,
151,Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,9/22/1989 0:00,4.43,0.46,0.59,4.89,0.5,0.83,0,Beastin 25/8,Light Heavyweight,"Rockton, Illinois",United States
152,Claudia Gadelha,"5' 4""",115 lbs.,"63""",Orthodox,12/7/1988 0:00,3.31,0.41,0.57,3.03,0.42,0.58,0.7,Claudinha,Strawweight,"Mossoro, Rio Grande do Norte",Brazil
153,Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,2/11/1990 0:00,1.76,0.46,0.37,0.52,0.25,0.53,0.5,,,,
